Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,1.327779627532604e+18,   0:00:18
1252.9680840681806,1.327779627532604e+18,0.0,0.0,   0:00:36,   0:05:26
627.9716078773951,1.327779627532604e+18,0.0,0.0,   0:00:59,   0:03:56
314.7313529485418,1.327779627532604e+18,0.0,0.0,   0:01:15,   0:02:56
157.73933612004828,1.327779627517321e+18,1.0,1.0,   0:01:34,   0:02:21
79.05694150420949,1.3277796275164797e+18,1.0,1.0,   0:01:52,   0:01:52
39.622329811527855,1.3277796275164797e+18,0.0,0.0,   0:02:12,   0:01:28
19.85820586810705,1.3277796275164797e+18,0.0,0.0,   0:02:34,   0:01:06
9.95267926383743,1.3277796275164797e+18,0.0,0.0,   0:02:51,   0:00:43
4.988155787422199,1.3277796275164797e+18,0.0,0.0,   0:03:07,   0:00:21
2.5000000000000004,1.3277796275164797e+18,1.0,0.0,   0:03:25,   0:00:00
