19.5,8.45,9.75,5.85,5.85,126.1,1.95,1.3,3.25,1.3,7.8,6.5,7.15,1.95,6.5,0.65,3.25,1.95,4.55,1.95,0,0.65,0.65,1.95,1.3,3.25,1.95,13,6.5,7.8,10.4,19.5,5.85,3.9,1.95,1.3,1.95
1.95,0.65,5.2,4.55,2.6,0.65,0,0,0,0,0.65,0.65,0.65,0,1.3,0,0,0,0,0.65,0,0,0.65,0,0.65,0,0,0.65,0,0.65,0.65,0.65,0,0,0,0.65,1.3
10.4,3.9,26.65,47.45,13.65,2.6,0.65,0.65,1.3,0.65,1.95,1.95,3.25,0.65,7.15,0.65,1.3,0,1.3,4.55,1.3,1.95,0,0.65,2.6,0.65,0.65,3.25,1.3,3.25,2.6,4.55,1.3,0.65,0.65,3.25,7.8
44.85,60.45,9.1,5.2,5.2,5.85,4.55,3.25,2.6,1.3,8.45,5.85,6.5,3.9,5.2,0,19.5,0.65,3.25,1.3,3.25,0.65,0.65,0,1.3,1.3,1.3,8.45,3.9,5.2,5.85,14.95,3.9,4.55,1.95,1.3,1.95
10.4,3.9,22.1,14.3,76.05,2.6,0.65,0.65,1.3,0.65,1.95,1.95,3.9,0.65,7.8,0.65,1.3,0.65,1.3,3.9,1.3,1.3,1.95,0.65,0,0.65,0.65,3.25,1.3,3.25,2.6,4.55,1.95,0.65,0.65,3.25,4.55
5.85,2.6,2.6,1.95,1.3,5.2,0.65,0.65,1.3,0.65,1.95,1.95,1.95,0.65,1.95,0,1.3,0.65,1.3,0.65,3.25,0,0,0.65,0,0,0.65,3.9,1.95,1.95,2.6,5.2,1.3,1.3,0.65,0.65,0.65
7.8,3.25,2.6,1.3,1.3,3.25,0.65,0.65,1.3,0.65,2.6,2.6,1.95,0.65,1.95,0,1.3,0.65,14.3,0.65,1.95,0,0,0.65,0,0.65,0,5.2,2.6,2.6,3.25,7.15,1.95,1.3,0.65,0.65,0.65
31.2,13,11.7,7.15,6.5,13.65,2.6,1.95,4.55,1.95,11.05,9.75,8.45,3.9,8.45,0.65,5.2,1.95,8.45,1.95,7.8,0.65,1.3,3.25,1.3,2.6,3.25,0,9.75,10.4,14.3,30.55,8.45,5.85,3.25,1.3,2.6
29.9,12.35,12.35,7.8,7.15,14.95,2.6,1.95,4.55,1.95,11.7,10.4,9.1,3.25,9.1,0.65,5.2,1.95,9.1,1.95,8.45,0.65,1.3,3.25,1.3,2.6,3.25,20.8,0,11.7,14.95,29.25,8.45,5.85,3.25,1.3,2.6
35.75,14.95,25.35,15.6,14.95,17.55,3.25,2.6,9.1,3.9,16.25,16.25,18.85,3.9,18.2,0.65,6.5,1.95,8.45,4.55,10.4,1.3,2.6,3.25,3.25,3.25,3.25,22.75,11.7,0,21.45,33.8,12.35,6.5,3.25,3.25,5.2
37.05,15.6,18.2,11.05,10.4,18.85,3.25,2.6,6.5,2.6,15.6,14.3,14.3,4.55,13,0.65,6.5,2.6,9.1,3.25,11.05,0.65,1.95,3.9,1.95,3.25,3.25,24.05,12.35,16.9,0,35.75,13,7.15,3.9,2.6,3.9
31.85,13.65,9.75,5.85,5.85,11.7,2.6,1.95,3.25,1.3,11.05,9.1,7.8,3.9,7.15,0.65,5.85,1.3,6.5,1.95,6.5,0.65,0.65,3.25,1.3,1.95,2.6,17.55,7.8,9.1,11.7,0,7.8,6.5,3.25,1.3,1.95
35.75,14.95,16.25,9.75,9.1,15.6,3.25,2.6,5.85,2.6,15.6,15.6,14.95,3.9,11.05,0.65,6.5,1.95,7.8,2.6,9.1,0.65,1.3,3.9,1.95,2.6,3.25,21.45,10.4,14.3,18.85,33.8,0,7.15,3.25,1.95,3.25
74.1,31.2,16.25,9.75,9.1,18.2,6.5,5.2,5.85,2.6,25.35,18.85,14.95,9.1,11.05,0.65,13,1.95,11.05,2.6,10.4,0.65,1.3,7.15,1.95,3.25,3.9,27.95,13,14.3,18.85,49.4,12.35,0,6.5,1.95,3.25
16.9,7.15,3.9,2.6,1.95,4.55,1.3,1.3,1.3,0.65,5.2,3.9,3.25,1.95,2.6,0,3.25,0.65,2.6,0.65,2.6,0,0.65,1.95,0.65,0.65,1.3,7.15,3.25,3.9,4.55,12.35,3.25,3.25,0,0.65,0.65
13.65,5.2,28.6,18.2,20.8,3.9,1.3,1.3,1.95,1.3,3.25,2.6,5.2,1.3,10.4,1.3,1.95,0.65,1.3,4.55,1.95,1.3,2.6,1.3,4.55,0.65,0.65,3.9,1.95,4.55,3.9,5.85,1.95,1.3,0.65,0,5.85
26.65,9.75,72.15,61.75,37.05,7.15,1.95,1.95,3.9,1.95,5.85,5.85,9.75,1.95,20.15,1.95,3.9,0.65,3.25,12.35,3.9,4.55,9.1,2.6,7.15,1.3,1.3,7.8,3.9,8.45,7.15,11.7,4.55,2.6,1.3,7.8,0
