Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,2.1727303239598702e+18,   0:00:14
1252.9680840681806,2.1727303239598702e+18,0.0,0.0,   0:00:29,   0:04:19
627.9716078773951,2.1727303239590958e+18,1.0,1.0,   0:00:43,   0:02:50
314.7313529485418,2.1727303239590958e+18,0.0,0.0,   0:00:56,   0:02:11
157.73933612004828,2.1727303239590958e+18,0.0,0.0,   0:01:09,   0:01:44
79.05694150420949,2.1727303239590958e+18,0.0,0.0,   0:01:23,   0:01:23
39.622329811527855,2.1727303239590958e+18,1.0,0.0,   0:01:37,   0:01:05
19.85820586810705,2.1727303239590958e+18,0.0,0.0,   0:01:51,   0:00:47
9.95267926383743,2.1727303239590958e+18,0.0,0.0,   0:02:04,   0:00:31
4.988155787422199,2.1727303239590958e+18,1.0,0.0,   0:02:17,   0:00:15
