Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,15927791.99628675,   0:05:09
1252.9680840681806,15877646.58974665,1.0,1.0,   0:10:03,   1:30:30
627.9716078773951,15877646.58974665,0.0,0.0,   0:14:28,   0:57:51
314.7313529485418,15877646.58974665,0.0,0.0,   0:18:48,   0:43:52
157.73933612004828,15877646.58974665,0.0,0.0,   0:23:40,   0:35:30
79.05694150420949,15863121.716238817,1.0,1.0,   0:28:33,   0:28:33
39.622329811527855,15863121.716238817,0.0,0.0,   0:34:05,   0:22:43
19.85820586810705,15863121.716238817,0.0,0.0,   0:39:44,   0:17:02
9.95267926383743,15863121.716238817,0.0,0.0,   0:44:39,   0:11:10
4.988155787422199,15863121.716238817,0.0,0.0,   0:50:06,   0:05:34
2.5000000000000004,15863121.716238817,1.0,0.0,   0:55:02,   0:00:00
