Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,13201315.243894156,   0:05:19
1252.9680840681806,13201315.243894156,0.0,0.0,   0:10:17,   1:32:29
627.9716078773951,13201315.243894156,0.0,0.0,   0:14:44,   0:58:55
314.7313529485418,11941788.818919305,1.0,1.0,   0:19:16,   0:44:57
157.73933612004828,11941788.818919305,0.0,0.0,   0:23:33,   0:35:20
79.05694150420949,11059967.46247154,1.0,1.0,   0:27:32,   0:27:32
39.622329811527855,10888109.716917176,1.0,1.0,   0:31:35,   0:21:03
19.85820586810705,10888109.716917176,1.0,0.0,   0:35:45,   0:15:19
9.95267926383743,10888109.716917176,0.0,0.0,   0:40:04,   0:10:01
4.988155787422199,10853588.93212205,1.0,1.0,   0:44:23,   0:04:56
2.5000000000000004,10843310.624773175,1.0,1.0,   0:48:42,   0:00:00
