Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,2.414144777284083e+18,   0:00:16
1252.9680840681806,1.327779627512557e+18,0.25,0.07,   0:19:17,   2:53:31
627.9716078773951,1.327779627512557e+18,0.17,0.01,   0:38:10,   2:32:40
