Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,3944518.952924632,   0:03:58
1252.9680840681806,3944244.262297925,1.0,1.0,   0:07:58,   1:11:42
627.9716078773951,3933233.9647634136,1.0,1.0,   0:11:48,   0:47:12
314.7313529485418,3933233.9647634136,0.0,0.0,   0:15:42,   0:36:37
157.73933612004828,3839910.654897715,1.0,1.0,   0:19:28,   0:29:12
79.05694150420949,3832398.7438926883,1.0,1.0,   0:23:45,   0:23:45
39.622329811527855,3832398.7438926883,0.0,0.0,   0:27:36,   0:18:24
19.85820586810705,3832398.7438926883,0.0,0.0,   0:31:31,   0:13:30
9.95267926383743,3815392.926854286,1.0,1.0,   0:35:19,   0:08:50
4.988155787422199,3811713.7426970303,1.0,1.0,   0:39:00,   0:04:20
2.5000000000000004,3811713.7426970303,0.0,0.0,   0:43:07,   0:00:00
