Temperature,Energy,Accept,Improve,Elapsed,Remaining
2500.0,11948033.357638562,   0:13:05
1252.9680840681806,11922516.832562517,1.0,1.0,   0:25:36,   3:50:28
627.9716078773951,11922516.832562517,0.0,0.0,   0:38:17,   2:33:06
314.7313529485418,11922516.832562517,0.0,0.0,   0:43:19,   1:41:05
157.73933612004828,11922516.832562517,0.0,0.0,   1:04:48,   1:37:12
79.05694150420949,11919804.22563068,1.0,1.0,   1:15:44,   1:15:44
39.622329811527855,11871041.724830458,1.0,1.0,  15:23:47,  10:15:51
19.85820586810705,11720949.838623537,1.0,1.0,  15:28:13,   6:37:48
9.95267926383743,11701934.021711359,1.0,1.0,  15:32:45,   3:53:11
4.988155787422199,11701934.021711359,0.0,0.0,  15:37:36,   1:44:11
2.5000000000000004,11701934.021711359,0.0,0.0,  15:47:08,   0:00:00
